slice,ticker,date,time,model,status,status_detail,maturity,t,t_beyond_last_pillar,t_below_first_pillar,spot,strike,forward,discount_factor,barrier_type,barrier_dir,barrier_mult,barrier_level,right,pv,std_err,knock_prob,vanilla_pv,vanilla_std_err,ko_over_vanilla,paths,steps,seed
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,none,,,,P,30.6624374048,0.1620244850,,30.6624374048,0.1620244850,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9500000000,482.4195000000,C,20.1903223475,0.2247705443,0.7563028379,32.5760140328,0.2199619135,0.6197910624,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9500000000,482.4195000000,P,0.1091174191,0.0049220057,0.7563028379,30.6624374048,0.1620244850,0.0035586675,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9000000000,457.0290000000,C,28.9546715238,0.2280642112,0.5131621599,32.5760140328,0.2199619135,0.8888340819,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.9000000000,457.0290000000,P,1.7010936050,0.0288108910,0.5131621599,30.6624374048,0.1620244850,0.0554780947,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.8500000000,431.6385000000,C,31.7296528085,0.2224748449,0.3169161144,32.5760140328,0.2199619135,0.9740188832,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,down,0.8500000000,431.6385000000,P,6.1144513246,0.0612942177,0.3169161144,30.6624374048,0.1620244850,0.1994117833,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.0500000000,533.2005000000,C,0.0955553415,0.0046094829,0.7496986387,32.5760140328,0.2199619135,0.0029333037,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.0500000000,533.2005000000,P,18.2660706546,0.1775066848,0.7496986387,30.6624374048,0.1620244850,0.5957148942,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1000000000,558.5910000000,C,1.2993020165,0.0250128045,0.5230783844,32.5760140328,0.2199619135,0.0398852363,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1000000000,558.5910000000,P,26.3918021053,0.1756025438,0.5230783844,30.6624374048,0.1620244850,0.8607209452,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1500000000,583.9815000000,C,4.5384253430,0.0538643471,0.3492282710,32.5760140328,0.2199619135,0.1393180068,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,out,up,1.1500000000,583.9815000000,P,29.3176327949,0.1676788009,0.3492282710,30.6624374048,0.1620244850,0.9561416272,40000,192,20260824
