slice,ticker,date,time,model,status,status_detail,grid_levels,grid_times,lv_min,lv_max,lv_mean,clamped_fraction,guard_fraction,roughness_dk,roughness_mean_abs_d2,roughness_max_abs_d2,roughness_mean_abs_d2_per_dk2,lv_analytic_minus_numeric_mean_abs,lv_analytic_minus_numeric_max_abs,rt_points,rt_failures,rt_panics,rt_vs_fit_mean_vol_bp,rt_vs_fit_max_vol_bp,rt_vs_fit_mean_abs_price,rt_vs_fit_max_abs_price,rt_vs_fit_mean_rel_price,rt_vs_mkt_mean_vol_bp,rt_vs_mkt_max_vol_bp,ur_roundtrip_points,ur_roundtrip_failures,ur_roundtrip_mean_vol_bp,ur_roundtrip_max_vol_bp,ur_clamped_fraction,ur_fallback_fraction,ur_within_desk_tolerance,trusted_strike_lo,trusted_strike_hi,trusted_t_lo,trusted_t_hi
daily,AMD,2026-08-24,1538,essvi_gfree,ok,,81,41,0.4419633174,2.1124006481,0.6001951466,0.0000000000,0.0000000000,0.0100000000,0.0000922433,0.0159329473,0.9224325379,0.0224417745,1.2273076559,15,0,0,48.4798817011,87.0993752839,0.3975410144,0.5584646632,0.0120492309,83.0090228133,148.3664642927,9,0,96.1576706735,369.2843949963,0.0000000000,0.0000000000,false,395.0000000000,510.0000000000,0.0054794521,1.4109589041
daily,AMD,2026-08-24,1538,essvi_sg05,ok,,81,41,0.4442617175,1.8365945812,0.5948426004,0.0000000000,0.0000000000,0.0100000000,0.0000701756,0.0078352023,0.7017558089,0.0182502294,1.6058836458,15,0,0,68.0718422130,130.2983649308,0.5146603586,0.5986003139,0.0174224517,69.2633283125,160.9692394126,9,0,102.3678475423,253.4632573960,0.0000000000,0.0000000000,false,395.0000000000,510.0000000000,0.0054794521,1.4109589041
daily,AMD,2026-08-25,1530,svi,ok,,81,41,0.0100000000,3.0000000000,0.5993511173,0.0090334237,0.0000000000,0.0100000000,0.0003181155,0.0651973861,3.1811550641,0.0316683047,2.0840021603,15,0,0,81.7224927780,200.4731908888,0.5044480937,1.0408450538,0.0227885033,88.0718667148,223.9380817194,6,0,674.4533845875,1934.7516649407,0.0090334237,0.0000000000,false,437.5000000000,515.0000000000,0.0027397260,1.4082191781
daily,AMD,2026-08-25,1530,ssvi,ok,,81,41,0.3899818565,1.7218200401,0.5995196569,0.0000000000,0.0000000000,0.0100000000,0.0000770560,0.0194452250,0.7705602758,0.0201195411,1.6201206960,15,0,0,41.8038545735,96.1481431111,0.2772773571,0.5153127863,0.0114855607,41.5069596781,138.0356359894,6,0,684.2862215325,2003.4460395884,0.0000000000,0.0000000000,false,437.5000000000,515.0000000000,0.0027397260,1.4082191781
daily,AMD,2026-08-25,1530,essvi,ok,,81,41,0.0100000000,2.0760894689,0.5981028327,0.0024089130,0.0000000000,0.0100000000,0.0001196917,0.0733948254,1.1969166648,0.0238938572,1.2555565296,15,0,0,57.0810066026,142.2094212300,0.3832566828,0.7096415502,0.0156432956,58.0329703252,166.8010133216,6,0,692.5339873084,2070.0596218989,0.0024089130,0.0000000000,false,437.5000000000,515.0000000000,0.0027397260,1.4082191781
daily,AMD,2026-08-25,1530,essvi_g05,ok,,81,41,0.3058049910,2.2325922861,0.6003022999,0.0000000000,0.0000000000,0.0100000000,0.0001081752,0.0209089694,1.0817518952,0.0303599318,1.6851201654,15,0,0,88.9658739074,213.6853023671,0.5548932829,1.1192418206,0.0249640349,78.4949940074,220.5667657405,6,0,702.4660285663,2102.3816289150,0.0000000000,0.0000000000,false,437.5000000000,515.0000000000,0.0027397260,1.4082191781
daily,AMD,2026-08-25,1530,essvi_gfree,ok,,81,41,0.3070569264,2.2613554984,0.6011883151,0.0000000000,0.0000000000,0.0100000000,0.0001077598,0.0223693702,1.0775984469,0.0299172453,1.4752493428,15,0,0,89.0465176485,215.0539528917,0.5520979728,1.1242050112,0.0249811134,77.6393241354,227.1655711845,6,0,697.8033893494,2098.5854682920,0.0000000000,0.0000000000,false,437.5000000000,515.0000000000,0.0027397260,1.4082191781
daily,AMD,2026-08-25,1530,essvi_sg05,ok,,81,41,0.3989453777,1.8779555511,0.5984671910,0.0000000000,0.0000000000,0.0100000000,0.0000626383,0.0092855474,0.6263829988,0.0197385840,1.0972221081,15,0,0,52.1395125203,129.0230123703,0.3265692444,0.6683111289,0.0146235595,48.6336365357,115.9985460460,6,0,661.2510962681,1941.4659553480,0.0000000000,0.0000000000,false,437.5000000000,515.0000000000,0.0027397260,1.4082191781
daily,AMD,2026-08-26,1530,svi,ok,,81,41,0.5093731620,3.0000000000,0.6209846106,0.0057211683,0.0000000000,0.0100000000,0.0002209543,0.1399940053,2.2095432700,0.0352313239,2.3853345774,15,0,0,68.3675588311,183.3414544765,0.4087242959,0.8136490529,0.0190552540,60.1599436191,173.0032244851,9,0,826.5489476848,2461.1127772629,0.0057211683,0.0000000000,false,402.5000000000,552.5000000000,0.0054794521,1.4054794521
daily,AMD,2026-08-26,1530,ssvi,ok,,81,41,0.5212513425,1.4639024784,0.6049310074,0.0000000000,0.0000000000,0.0100000000,0.0000581974,0.0041458613,0.5819739806,0.0184507464,0.9720075276,15,0,0,81.3248413210,194.8760647586,0.5285173157,0.8891278045,0.0219412084,85.3930720924,225.2577322625,9,0,871.6494758257,2548.4295101882,0.0000000000,0.0000000000,false,402.5000000000,552.5000000000,0.0054794521,1.4054794521
