slice,ticker,date,time,status,status_detail,file,as_of,quote_timestamp,spot,curve_date,n_quotes_raw,n_expiries_raw,n_quotes_used,n_quotes_dropped,drop_unquoted_or_crossed,drop_wide_spread,drop_expiry_window,drop_moneyness_window,drop_in_the_money,drop_vol_out_of_bounds,drop_solver_failed,drop_sparse_expiry,drop_no_forward,n_expiries_used,t_first,t_last,fwd_1M,fwd_3M,fwd_6M,rate_1M,rate_3M,rate_6M,rate_1Y,raw_butterfly_violations,raw_calendar_violations,repair_butterfly_adjustments,repair_calendar_adjustments,repair_dropped_points,repair_max_vol_change,repair_iterations,repair_clean,elapsed_ms
daily,IWM,2026-08-14,1530,ok,,IWM/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:26,304.5750000000,2026-08-13,5900,33,1668,4232,547,652,203,296,2534,0,0,0,0,31,0.0082191781,1.4383561644,305.1626552621,306.4338240169,308.5554353556,0.0378391324,0.0385038441,0.0390124368,0.0390923758,274,35,422,45,0,0.0819179732,2,true,28002.6653000000
daily,IWM,2026-08-17,1530,ok,,IWM/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:31,303.5910000000,2026-08-14,5754,33,1618,4136,566,606,193,291,2480,0,0,0,0,31,0.0027397260,1.4301369863,303.9467069224,305.5398515526,307.6346341808,0.0378391323,0.0384064106,0.0391089318,0.0394088634,256,41,432,48,0,0.0779368497,2,true,31411.9217000000
daily,IWM,2026-08-18,1530,ok,,IWM/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:15,300.3900000000,2026-08-17,5744,33,1644,4100,507,633,186,292,2482,0,0,0,0,31,0.0027397260,1.4273972603,300.7134122705,302.4047728108,304.7679339046,0.0378391324,0.0385054512,0.0391105284,0.0396069109,276,43,458,54,0,0.0838790617,2,true,31529.7791000000
daily,IWM,2026-08-19,1530,ok,,IWM/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:26,301.4200000000,2026-08-18,5736,33,1611,4125,558,617,182,287,2481,0,0,0,0,31,0.0027397260,1.4246575342,301.7098385963,303.4989737147,305.6125187337,0.0377394528,0.0384080177,0.0390124368,0.0395088736,259,51,428,70,0,0.0862623215,2,true,34525.4639000000
daily,IWM,2026-08-20,1530,ok,,IWM/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:15,297.6450000000,2026-08-19,5744,33,1522,4222,558,732,188,261,2483,0,0,0,0,31,0.0027397260,1.4219178082,297.8177280534,299.5747122347,301.5565737980,0.0376397724,0.0384064106,0.0390124368,0.0396034947,232,57,358,75,0,0.0922573911,2,true,32551.1729000000
daily,IWM,2026-08-21,1530,ok,,IWM/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:26,300.1000000000,2026-08-20,5684,32,1638,4046,524,596,214,279,2433,0,0,0,0,30,0.0082191781,1.4191780822,300.2490478640,302.0511645259,304.0067099225,0.0379388111,0.0385006299,0.0390124368,0.0392914356,240,30,405,35,0,0.0866946439,2,true,29998.9551000000
daily,IWM,2026-08-24,1538,ok,,IWM/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:38:17,298.1500000000,2026-08-21,5486,31,1521,3965,507,641,188,256,2373,0,0,0,0,29,0.0027397260,1.4109589041,298.2608182735,300.0124709183,302.1931478946,0.0379388111,0.0385996681,0.0391121249,0.0399039828,209,34,361,45,0,0.0857479631,2,true,31242.2133000000
daily,IWM,2026-08-25,1530,ok,,IWM/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:19,298.7100000000,2026-08-24,5372,31,1452,3920,525,640,182,251,2322,0,0,0,0,29,0.0027397260,1.4082191781,298.8475745872,300.6748435051,302.9241194607,0.0378391324,0.0385022370,0.0392086152,0.0400020080,204,30,354,32,0,0.0740048022,2,true,28679.1189000000
daily,IWM,2026-08-26,1530,ok,,IWM/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:29,299.1100000000,2026-08-25,5372,31,1458,3914,528,638,182,261,2305,0,0,0,0,29,0.0027397260,1.4054794521,299.1607413499,300.9795435855,303.2386622990,0.0378391324,0.0384048035,0.0391105284,0.0397059348,219,42,376,63,0,0.0923501092,2,true,21676.9925000000
daily,IWM,2026-08-27,1530,ok,,IWM/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:22,300.0300000000,2026-08-26,5442,32,1506,3936,547,572,187,286,2344,0,0,0,0,30,0.0027397260,1.4027397260,300.0783224405,301.8652122014,304.0993401890,0.0379388111,0.0383073676,0.0390124368,0.0398014811,220,81,643,217,0,0.1973733151,8,false,19302.7491000000
daily,META,2026-08-14,1530,ok,,META/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:16,591.3550000000,2026-08-13,7532,24,1270,6262,918,854,841,1569,2080,0,0,0,0,21,0.0082191781,1.4383561644,593.3806887066,597.4150926810,604.4448433787,0.0378391324,0.0385038441,0.0390124368,0.0390923758,307,30,392,49,0,0.1828903226,2,true,23725.0758000000
daily,META,2026-08-17,1530,ok,,META/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:15,569.3650000000,2026-08-14,7172,24,1169,6003,714,1012,749,1620,1908,0,0,0,0,21,0.0054794521,1.4301369863,571.1925689612,575.2407099683,581.5337011242,0.0378391323,0.0384064106,0.0391089318,0.0394088634,273,30,320,35,0,0.1179822908,1,true,25149.6180000000
daily,META,2026-08-18,1530,ok,,META/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:30,544.7900000000,2026-08-17,7134,24,1227,5907,686,895,620,1763,1943,0,0,0,0,22,0.0027397260,1.4273972603,546.6067260663,550.7139621804,556.8643607471,0.0378391324,0.0385054512,0.0391105284,0.0396069109,268,14,339,19,0,0.0685929872,2,true,25226.7931000000
daily,META,2026-08-19,1530,ok,,META/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:31,550.5850000000,2026-08-18,7298,24,1142,6156,757,1115,692,1677,1915,0,0,0,0,21,0.0054794521,1.4246575342,552.5722279449,556.7026569234,563.1654059773,0.0377394528,0.0384080177,0.0390124368,0.0395088736,221,22,243,27,0,0.1714637628,1,true,25643.9805000000
daily,META,2026-08-20,1530,ok,,META/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:26,541.7600000000,2026-08-19,7268,23,1268,6000,704,865,633,1808,1990,0,0,0,0,21,0.0027397260,1.4219178082,543.6301935663,547.5985065014,553.9595678415,0.0376397724,0.0384064106,0.0390124368,0.0396034947,258,12,306,23,0,0.1192413999,2,true,24943.7085000000
daily,META,2026-08-21,1530,ok,,META/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:22,549.4246000000,2026-08-20,7268,23,1189,6079,835,863,841,1658,1882,0,0,0,0,20,0.0082191781,1.4191780822,551.0824041295,555.4832353134,562.0778642871,0.0379388111,0.0385006299,0.0390124368,0.0392914356,276,5,326,7,0,0.1007565954,1,true,24110.0657000000
