slice,ticker,date,time,model,status,status_detail,horizon,t,t_beyond_last_pillar,t_below_first_pillar,target_forward,simulated_mean,relative_error,standard_error,z_score,paths,seed,steps_per_year,z_threshold,within_threshold,max_abs_z_all_horizons,mc_mean_spot,mc_relative_error,mc_standard_error,mc_paths,mc_seed,mc_steps,carry_rate,zero_dividend_forward_error,drift_source
daily,AMD,2026-08-20,1530,ssvi,ok,,1M,0.0833333333,false,false,466.4030420131,466.4228224404,0.0000424106,0.0001600614,0.2649644669,32768,20260824,104,3.0000000000,true,1.1881230192,466.3986494048,-0.0000094181,0.0001591548,40000,20260824,192,0.0428645750,-0.0004353054,parity_forward
daily,AMD,2026-08-20,1530,ssvi,ok,,3M,0.2500000000,false,false,469.5981486475,469.9081517280,0.0006601454,0.0005556205,1.1881230192,32768,20260824,104,3.0000000000,true,1.1881230192,469.5886461261,-0.0000202354,0.0005184176,40000,20260824,192,0.0415968667,-0.0007972960,parity_forward
daily,AMD,2026-08-20,1530,ssvi,ok,,6M,0.5000000000,false,false,474.8603145237,474.5157749131,-0.0007255599,0.0010913362,-0.6648363168,32768,20260824,104,3.0000000000,true,1.1881230192,474.5096167051,-0.0007385284,0.0009883810,40000,20260824,192,0.0430851533,-0.0020342863,parity_forward
daily,AMD,2026-08-20,1530,essvi,ok,,1M,0.0833333333,false,false,466.4030420131,466.4569596235,0.0001156030,0.0001222204,0.9458570917,32768,20260824,104,3.0000000000,true,1.4881338620,466.4556113113,0.0001127122,0.0002689621,40000,20260824,192,0.0428645750,-0.0004353054,parity_forward
daily,AMD,2026-08-20,1530,essvi,ok,,3M,0.2500000000,false,false,469.5981486475,469.9684780172,0.0007886091,0.0005299316,1.4881338620,32768,20260824,104,3.0000000000,true,1.4881338620,469.6888083389,0.0001930580,0.0005623692,40000,20260824,192,0.0415968667,-0.0007972960,parity_forward
daily,AMD,2026-08-20,1530,essvi,ok,,6M,0.5000000000,false,false,474.8603145237,474.5897074838,-0.0005698666,0.0010710706,-0.5320532843,32768,20260824,104,3.0000000000,true,1.4881338620,474.6830465751,-0.0003733055,0.0010088827,40000,20260824,192,0.0430851533,-0.0020342863,parity_forward
daily,AMD,2026-08-20,1530,essvi_g05,ok,,1M,0.0833333333,false,false,466.4030420131,466.3855690880,-0.0000374631,0.0001148308,-0.3262464868,32768,20260824,104,3.0000000000,true,1.0829607077,466.3731133315,-0.0000641691,0.0001342370,40000,20260824,192,0.0428645750,-0.0004353054,parity_forward
daily,AMD,2026-08-20,1530,essvi_g05,ok,,3M,0.2500000000,false,false,469.5981486475,469.8788815932,0.0005978153,0.0005520194,1.0829607077,32768,20260824,104,3.0000000000,true,1.0829607077,469.5973872782,-0.0000016213,0.0005265365,40000,20260824,192,0.0415968667,-0.0007972960,parity_forward
daily,AMD,2026-08-20,1530,essvi_g05,ok,,6M,0.5000000000,false,false,474.8603145237,474.5066509808,-0.0007447738,0.0011803229,-0.6309916317,32768,20260824,104,3.0000000000,true,1.0829607077,474.4873369501,-0.0007854469,0.0010613510,40000,20260824,192,0.0430851533,-0.0020342863,parity_forward
daily,AMD,2026-08-20,1530,essvi_gfree,ok,,1M,0.0833333333,false,false,466.4030420131,466.3851889121,-0.0000382783,0.0001155489,-0.3312733186,32768,20260824,104,3.0000000000,true,1.0927436578,466.3722100784,-0.0000661058,0.0001325123,40000,20260824,192,0.0428645750,-0.0004353054,parity_forward
